"Source:","/home/mpt/Documentos/Projetos/sisdig/1.3-laboratorio/projetos/dado-digital/dado-digital-simplificado/opcao-1/dado-digital-simplificado-opcao-1.sch"
"Date:","qua 05 mai 2021 12:13:30"
"Tool:","Eeschema 5.1.9-73d0e3b20d~88~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Campo4","Campo5","Campo6","Campo7","Observação","Value"
"","","C1","100 nF","Device:C","","~","","","","","Bypass U1","100nF"
"","","C2","100 nF","Device:C","","~","","","","","Bypass U2","100nF"
"","","C3","100 nF","Device:C","","~","","","","","Bypass U3","100nF"
"","","C4","100 nF","Device:C","","~","","","","","Bypass U4","100nF"
"","","C5","100 nF","Device:C","","~","","","","","Bypass U5","100nF"
"","","C6","10uF","Device:CP1","","~","","","","","","CP1"
"","","C7","1uF","Device:CP1","","~","","","","","","CP1"
"","","C8","10uF","Device:CP1","","~","","","","","","CP1"
"","","C9","1uF","Device:CP1","","~","","","","","","CP1"
"","","D1","1N4148","Device:D_ALT","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~","","","","","","D_ALT"
"","","DISP1","HDSP-7403","Display_Character:HDSP-7403","Display_7Segment:HDSP-7401","74xx/74hc_hct74.pdf","","","","","","HDSP-7403"
"","","J1","Conn_01x02","Connector_Generic:Conn_01x02","","~","","","","","3 x 1,5V (AA)","Conn_01x02"
"","","R1","10k","Device:R","","~","","","","","","R"
"","","R2","330k","Device:R","","~","","","","","","R"
"","","R3","10k","Device:R","","~","","","","","","R"
"","","R4","10k","Device:R","","~","","","","","","R"
"","","R5","220R","Device:R","","~","","","","","","R"
"","","R6","220R","Device:R","","~","","","","","","R"
"","","R7","220R","Device:R","","~","","","","","","R"
"","","R8","220R","Device:R","","~","","","","","","R"
"","","R9","220R","Device:R","","~","","","","","","R"
"","","R10","220R","Device:R","","~","","","","","","R"
"","","R11","220R","Device:R","","~","","","","","","R"
"","","R12","220R","Device:R","","~","","","","","","R"
"","","R13","220","Device:R","","~","","","","","","R"
"","","SW1","SW_DPST","Switch:SW_DPST","","","","","","","","SW_DPST"
"","","SW2","SW_Push","Switch:SW_Push","","","","","","","","SW_Push"
"","","U1","74HC74","74xx:74HC74","","74xx/74hc_hct74.pdf","","","","","","74LS74"
"","","U2","74HC74","74xx:74HC74","","74xx/74hc_hct74.pdf","","","","","","74LS74"
"","","U3","74HC14","74xx:74HC14","","http://www.ti.com/lit/gpn/sn74HC14","","","","","","74HC14"
"","","U4","74HC08","74xx:74LS08","","http://www.ti.com/lit/gpn/sn74HC08","","","","","","74LS08"
"","","U5","CD4511BE","CD4511BE:CD4511BE","DIP254P762X508-16","74xx/74hc_hct74.pdf","PDIP-16","60K5141","1106122","Texas Instruments","","CD4511BE"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Campo4","Campo5","Campo6","Campo7","Observação","Value"
"1","5","C1, C2, C3, C4, C5","100 nF","Device:C","","~","","","","","Bypass U1","100nF"
"2","2","C6, C8","10uF","Device:CP1","","~","","","","","","CP1"
"3","2","C7, C9","1uF","Device:CP1","","~","","","","","","CP1"
"4","1","D1","1N4148","Device:D_ALT","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~","","","","","","D_ALT"
"5","1","DISP1","HDSP-7403","Display_Character:HDSP-7403","Display_7Segment:HDSP-7401","74xx/74hc_hct74.pdf","","","","","","HDSP-7403"
"6","1","J1","Conn_01x02","Connector_Generic:Conn_01x02","","~","","","","","3 x 1,5V (AA)","Conn_01x02"
"7","3","R1, R3, R4","10k","Device:R","","~","","","","","","R"
"8","1","R2","330k","Device:R","","~","","","","","","R"
"9","8","R5, R6, R7, R8, R9, R10, R11, R12","220R","Device:R","","~","","","","","","R"
"10","1","R13","220","Device:R","","~","","","","","","R"
"11","1","SW1","SW_DPST","Switch:SW_DPST","","","","","","","","SW_DPST"
"12","1","SW2","SW_Push","Switch:SW_Push","","","","","","","","SW_Push"
"13","2","U1, U2","74HC74","74xx:74HC74","","74xx/74hc_hct74.pdf","","","","","","74LS74"
"14","1","U3","74HC14","74xx:74HC14","","http://www.ti.com/lit/gpn/sn74HC14","","","","","","74HC14"
"15","1","U4","74HC08","74xx:74LS08","","http://www.ti.com/lit/gpn/sn74HC08","","","","","","74LS08"
"16","1","U5","CD4511BE","CD4511BE:CD4511BE","DIP254P762X508-16","74xx/74hc_hct74.pdf","PDIP-16","60K5141","1106122","Texas Instruments","","CD4511BE"
