"Source:","/home/mpt/Documentos/Projetos/sisdig/1.3-laboratorio/projetos/depuracao-circuitos/circuito-01/circuito-01-com-defeito.sch"
"Date:","seg 01 fev 2021 09:37:00"
"Tool:","Eeschema 5.1.9-73d0e3b20d~88~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","22"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Observacao"
"","","C1","10nF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","Para U1."
"","","C2","10nF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","Para U2."
"","","C3","10nF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","Para U3."
"","","D1","LED_ALT","circuito-01-rescue:LED_ALT","LED_THT:LED_D5.0mm","",""
"","","J1","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~",""
"","","J2","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~",""
"","","J3","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~",""
"","","J4","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~",""
"","","J5","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~",""
"","","J6","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~",""
"","","J7","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~",""
"","","J8","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~",""
"","","P1","CONN_01X02","circuito-01-rescue:CONN_01X02","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","",""
"","","R1","270","circuito-01-rescue:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"","","R2","10k","circuito-01-rescue:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"","","R3","10k","circuito-01-rescue:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"","","R4","10k","circuito-01-rescue:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"","","R5","10k","circuito-01-rescue:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"","","SW1","SW_DIP_x04","circuito-01-rescue:SW_DIP_x04","Button_Switch_THT:SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm","",""
"","","U1","74LS32","74xx:74LS32","","http://www.ti.com/lit/gpn/sn74LS32",""
"","","U2","7400","74xx:7400","","http://www.ti.com/lit/gpn/sn7400",""
"","","U3","74LS86","74xx:74LS86","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74ls86.pdf",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Observacao"
"1","3","C1, C2, C3","10nF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","Para U1."
"2","1","D1","LED_ALT","circuito-01-rescue:LED_ALT","LED_THT:LED_D5.0mm","",""
"3","6","J1, J2, J3, J4, J5, J6","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~",""
"4","2","J7, J8","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~",""
"5","1","P1","CONN_01X02","circuito-01-rescue:CONN_01X02","TerminalBlock_Altech:Altech_AK300_1x02_P5.00mm_45-Degree","",""
"6","1","R1","270","circuito-01-rescue:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"7","4","R2, R3, R4, R5","10k","circuito-01-rescue:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"8","1","SW1","SW_DIP_x04","circuito-01-rescue:SW_DIP_x04","Button_Switch_THT:SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm","",""
"9","1","U1","74LS32","74xx:74LS32","","http://www.ti.com/lit/gpn/sn74LS32",""
"10","1","U2","7400","74xx:7400","","http://www.ti.com/lit/gpn/sn7400",""
"11","1","U3","74LS86","74xx:74LS86","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74ls86.pdf",""
